HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000226545.1,0,0,0,0,0,0,0,0,0,0
ENSG00000228423.2,0,2,0,4,0,0,0,1,0,0
ENSG00000229716.2,0,0,0,0,0,0,0,0,0,0
ENSG00000074800.16,8380,8452,9475,10954,13610,9672,5448,8203,7235,7776
ENSG00000274258.1,0,0,0,0,2,2,0,1,3,0
ENSG00000230679.1,8,0,5,0,1,5,4,6,3,4
ENSG00000201725.1,1,0,1,0,0,0,0,0,1,2
ENSG00000238249.2,2,7,3,3,2,1,4,1,2,2
ENSG00000232208.2,27,4,14,13,5,16,48,19,34,44
ENSG00000232663.2,2,0,3,0,0,0,5,0,1,2
ENSG00000131686.15,40,19,61,71,19,19,100,28,78,109
ENSG00000290109.1,68,2,23,81,28,13,45,16,52,66
ENSG00000265141.2,0,0,1,1,0,0,0,0,0,0
ENSG00000197241.4,0,0,3,0,0,0,0,2,0,1
ENSG00000142583.18,59,23,85,41,77,92,41,67,49,75
ENSG00000252404.1,0,0,0,0,0,0,0,0,0,0
ENSG00000180758.12,170,71,144,160,179,231,46,145,137,187
ENSG00000228526.8,1,10,8,4,5,21,7,4,8,4
ENSG00000284357.1,0,0,0,0,0,0,0,0,0,0
ENSG00000289914.1,0,0,0,0,0,0,0,0,0,0
ENSG00000234546.5,0,0,0,0,1,1,0,0,0,3
ENSG00000049239.13,1248,1179,1288,768,1260,1256,854,1771,1292,1357
ENSG00000171621.14,65,38,38,40,49,51,45,42,30,21
ENSG00000284652.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284693.2,0,0,3,0,1,1,0,1,4,0
ENSG00000252956.1,0,0,0,0,0,0,0,0,0,0
ENSG00000235263.1,0,0,0,0,0,0,0,0,0,0
ENSG00000171612.7,98,62,90,85,86,71,144,68,77,72
ENSG00000231181.1,1,1,2,1,1,2,1,1,6,3
ENSG00000188807.13,92,57,81,49,81,68,39,83,74,85
ENSG00000171608.18,10348,11217,10062,9345,11625,12286,6006,11052,10638,11098
ENSG00000179840.5,40,30,75,65,54,66,27,79,28,40
ENSG00000233268.3,2,8,3,3,1,0,0,3,6,2
ENSG00000231789.4,2,5,6,4,3,10,5,12,5,7
ENSG00000171603.18,2506,1497,1831,1247,2623,2123,1958,2216,2362,2213
ENSG00000271264.1,1,0,0,0,0,0,0,0,0,0
ENSG00000280113.2,0,4,2,0,0,1,0,0,0,0
ENSG00000178585.15,361,212,327,217,400,247,184,332,291,291
ENSG00000223989.1,0,0,0,0,0,0,0,0,0,0
ENSG00000285701.1,0,3,0,0,0,1,1,4,0,0
ENSG00000162441.12,528,465,379,378,397,597,848,557,559,562
ENSG00000228150.1,7,5,7,0,5,4,6,5,3,5
ENSG00000173614.14,189,136,208,111,157,238,148,190,167,156
ENSG00000202415.1,0,0,4,0,0,1,0,1,3,3
ENSG00000283611.2,0,2,7,3,0,3,0,6,0,0
ENSG00000265521.1,0,0,0,0,0,0,0,0,0,0
ENSG00000241326.1,0,0,0,0,0,0,0,0,0,0
ENSG00000162444.12,452,433,559,316,300,297,256,454,326,352
ENSG00000130939.20,1078,1202,1059,899,1017,1502,1743,1330,1459,1181
ENSG00000224340.1,1,1,1,0,0,0,0,0,1,3
ENSG00000233623.2,1,7,2,1,7,0,4,9,2,3
ENSG00000201746.1,0,1,0,0,0,3,1,2,1,0
ENSG00000054523.20,493,912,518,434,939,1364,845,665,629,559
ENSG00000264881.1,0,0,0,0,0,0,0,0,0,0
ENSG00000199562.1,0,1,1,1,0,0,0,0,1,0
ENSG00000264501.2,0,0,0,0,0,0,0,0,0,0
ENSG00000284735.1,12,10,8,24,6,9,5,9,8,2
ENSG00000284642.1,23,21,26,27,37,53,32,46,13,22
ENSG00000142657.21,6475,5741,6527,6316,9109,6459,3628,6314,4122,4908
ENSG00000271989.1,0,0,0,0,0,0,0,0,0,0
