HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000284646.1,0,0,0,0,0,0,0,0,0,0
ENSG00000224338.2,0,0,0,0,0,0,0,0,0,0
ENSG00000204624.8,3,2,7,0,4,7,6,5,9,4
ENSG00000285833.1,0,0,0,0,0,0,0,0,0,0
ENSG00000235643.2,0,0,0,0,0,0,0,0,0,0
ENSG00000284708.1,0,0,0,0,0,0,0,0,1,0
ENSG00000116661.11,27,10,29,0,23,23,34,10,14,31
ENSG00000132879.14,254,80,319,116,297,343,407,252,423,289
ENSG00000116670.16,146,102,173,87,312,194,214,167,198,143
ENSG00000116663.11,64,59,77,14,81,46,88,92,43,71
ENSG00000162490.7,29,16,43,12,65,25,11,30,48,29
ENSG00000177674.16,934,830,1532,726,2082,1457,1324,1172,1153,958
ENSG00000215910.8,3,2,2,0,1,0,1,0,0,0
ENSG00000177553.6,0,0,0,0,0,0,0,0,0,0
ENSG00000177000.13,558,213,751,178,698,671,967,625,828,607
ENSG00000011021.23,242,146,389,119,336,320,454,331,387,316
ENSG00000276470.1,0,0,0,0,0,0,0,0,0,0
ENSG00000278852.1,0,0,0,0,0,0,0,0,0,0
ENSG00000175206.11,2,0,0,2,4,14,10,0,4,1
ENSG00000275915.1,0,0,0,0,0,0,0,0,0,0
ENSG00000120937.9,0,0,0,0,0,2,0,0,0,0
ENSG00000224904.1,0,0,0,0,2,0,0,0,1,0
ENSG00000285646.2,5,10,19,10,5,13,11,17,11,5
ENSG00000199347.1,0,0,0,0,0,0,0,0,0,0
ENSG00000201801.1,1,0,1,0,0,2,0,5,1,0
ENSG00000116685.17,1009,590,922,553,1560,1146,974,720,1170,832
ENSG00000083444.17,641,310,467,181,944,575,454,399,704,438
ENSG00000287384.1,1,0,0,0,0,0,0,0,0,0
ENSG00000116688.18,1576,802,867,772,2162,1742,1329,944,2333,1214
ENSG00000270914.1,0,0,0,0,0,0,0,0,0,0
ENSG00000116691.11,429,366,532,299,773,507,532,510,502,397
